transaction_id,timestamp,platform,purchased_currency,sold_currency,purchased_qty,sold_qty,fee_currency,fee_qty,purchased_currency_spot_price_usd,sold_currency_spot_price_usd,tx_notes
,2019-04-08T01:55:31Z,Coinbase,XLM,USD,14.7069097,0,USD,0,0.14,,Received 14.7069097 XLM from Coinbase Earn
,2019-04-08T01:58:35Z,Coinbase,XLM,USD,14.7278659,0,USD,0,0.14,,Received 14.7278659 XLM from Coinbase Earn
,2019-04-08T02:01:35Z,Coinbase,XLM,USD,14.720928,0,USD,0,0.14,,Received 14.720928 XLM from Coinbase Earn
244800,2019-04-08T02:47:35.413Z,Coinbase Pro,XLM,USD,12803,1734.874356,USD,2.59452795,,,
244802,2019-04-08T02:47:42.120Z,Coinbase Pro,XLM,USD,371,50.2724663,USD,0.07518315,,,
244804,2019-04-08T02:47:46.529Z,Coinbase Pro,XLM,USD,2634,356.9209602,USD,0.5337801,,,
244805,2019-04-08T02:47:49.225Z,Coinbase Pro,XLM,USD,8017,1086.34599,USD,1.62464505,,,
244808,2019-04-08T02:47:53.464Z,Coinbase Pro,XLM,USD,4942,669.6671926,USD,1.0014963,,,
244809,2019-04-08T02:47:55.200Z,Coinbase Pro,XLM,USD,19242,2607.392983,USD,3.8993913,,,
244811,2019-04-08T02:48:09.786Z,Coinbase Pro,XLM,USD,89,12.0599717,USD,0.01803585,,,
244815,2019-04-08T02:48:26.413Z,Coinbase Pro,XLM,USD,73,9.8918869,USD,0.01479345,,,
244820,2019-04-08T02:48:46.216Z,Coinbase Pro,XLM,USD,182,24.6619646,USD,0.0368823,,,
244827,2019-04-08T02:49:07.308Z,Coinbase Pro,XLM,USD,3383,458.4144299,USD,0.68556495,,,
46190664,2019-04-08T07:12:45.317Z,Coinbase Pro,ETH,USD,35.19925439,6354.873388,USD,9.503798685,,,
46190665,2019-04-08T07:12:45.317Z,Coinbase Pro,ETH,USD,3.63174561,655.6753524,USD,0.980571315,,,
,2019-04-19T03:30:21Z,Coinbase,BTC,LTC,0.00075561,0.0494278,USD,0.04,,80.93,Converted 0.0494278 LTC to 0.00075561 BTC
498665,2019-04-21T18:16:01.922Z,Coinbase Pro,XRP,USD,486,155.742831,USD,0.2329155,,,
498678,2019-04-21T18:17:41.577Z,Coinbase Pro,XRP,USD,1810,580.029885,USD,0.8674425,,,
498679,2019-04-21T18:18:00.550Z,Coinbase Pro,XRP,USD,6,1.922751,USD,0.0028755,,,
498684,2019-04-21T18:18:25.912Z,Coinbase Pro,XRP,USD,467,149.6541195,USD,0.22380975,,,
